timestamp,value,label
2024-01-01 00:00:00,10,0
2024-01-01 01:00:00,12,0
2024-01-01 02:00:00,15,0
2024-01-01 03:00:00,200,1
2024-01-01 04:00:00,13,0
2024-01-01 05:00:00,14,0
2024-01-01 06:00:00,13,0
2024-01-01 07:00:00,250,1
2024-01-01 08:00:00,15,0
2024-01-01 09:00:00,14,0
2024-01-01 10:00:00,11,0
2024-01-01 11:00:00,13,0
2024-01-01 12:00:00,220,1
2024-01-01 13:00:00,14,0
2024-01-01 14:00:00,15,0
2024-01-01 15:00:00,240,1
2024-01-01 16:00:00,13,0
2024-01-01 17:00:00,11,0
2024-01-01 18:00:00,230,1
2024-01-01 19:00:00,15,0
